feature,mean_abs_shap
LogP,0.9945568
HBA,0.6569167
TPSA,0.53267145
FractionCSP3,0.47807202
MolWt,0.45166653
morgan_bit_715,0.39415947
morgan_bit_1690,0.2893686
AromaticFraction,0.2873977
morgan_bit_1226,0.22588354
HBD,0.21894304
morgan_bit_1152,0.2138794
RotatableBonds,0.20767444
morgan_bit_1,0.1841442
morgan_bit_935,0.16914906
morgan_bit_456,0.16074479
morgan_bit_1602,0.14525749
morgan_bit_1737,0.14469248
morgan_bit_881,0.13827899
morgan_bit_650,0.13527715
morgan_bit_2031,0.12148082
morgan_bit_1292,0.11228202
morgan_bit_147,0.109704375
morgan_bit_1114,0.10887397
morgan_bit_1386,0.09114646
morgan_bit_1436,0.09057745
RingCount,0.084905125
morgan_bit_926,0.08010437
morgan_bit_1060,0.07872809
morgan_bit_695,0.07792332
morgan_bit_1607,0.07548862
morgan_bit_389,0.06445854
morgan_bit_9,0.058954775
morgan_bit_1745,0.058284726
morgan_bit_197,0.057365786
morgan_bit_80,0.057091247
morgan_bit_114,0.055562075
morgan_bit_896,0.054811593
morgan_bit_486,0.052549835
morgan_bit_1019,0.05235579
morgan_bit_1750,0.051927008
morgan_bit_1718,0.05123437
morgan_bit_350,0.051031232
morgan_bit_718,0.050390124
morgan_bit_294,0.050189104
morgan_bit_378,0.04980751
morgan_bit_753,0.04797858
morgan_bit_750,0.04688379
morgan_bit_1325,0.04582119
morgan_bit_1199,0.045579337
morgan_bit_838,0.045249805
morgan_bit_849,0.045227613
morgan_bit_489,0.044193536
morgan_bit_207,0.04376112
morgan_bit_1362,0.04294036
morgan_bit_1683,0.04216336
morgan_bit_1729,0.041917644
morgan_bit_745,0.041134108
morgan_bit_1163,0.039279856
morgan_bit_624,0.037722725
morgan_bit_1017,0.037341364
morgan_bit_140,0.03558455
morgan_bit_13,0.035402264
morgan_bit_1917,0.035226256
morgan_bit_1985,0.034591362
morgan_bit_97,0.03443463
morgan_bit_577,0.034044366
morgan_bit_1457,0.033548873
morgan_bit_283,0.033516027
morgan_bit_392,0.03335244
morgan_bit_1385,0.033304933
morgan_bit_1722,0.033278808
morgan_bit_1171,0.032864865
